graph_id,n,vertex,coverage_fraction
n500_s500000,500,328,0.9698795180722891
n500_s500000,500,287,0.9799196787148594
n500_s500000,500,89,0.9819277108433735
n500_s500000,500,270,0.9738955823293173
n500_s500000,500,88,0.9899598393574297
n500_s500000,500,202,0.9437751004016064
n500_s500000,500,277,0.9698795180722891
n500_s500000,500,356,0.9879518072289156
n500_s500000,500,495,0.9738955823293173
n500_s500014,500,309,0.95
n500_s500014,500,215,0.914
n500_s500014,500,307,0.976
n500_s500014,500,25,0.994
n500_s500014,500,57,0.988
n500_s500014,500,413,0.998
n500_s500014,500,174,0.892
n500_s500014,500,50,0.956
n500_s500014,500,212,0.982
n500_s500014,500,166,0.98
n500_s500014,500,171,0.976
n500_s500014,500,218,0.926
n500_s500014,500,406,0.964
n500_s500014,500,164,0.968
n500_s500014,500,365,0.75
n500_s500014,500,390,0.988
n500_s500014,500,39,0.972
n500_s500014,500,297,0.996
n500_s500014,500,125,0.956
n500_s500014,500,195,0.888
n500_s500022,500,316,0.902
n500_s500022,500,35,0.986
n500_s500022,500,363,0.988
n500_s500022,500,136,0.994
n500_s500022,500,13,0.992
n500_s500022,500,154,0.994
n500_s500022,500,232,0.964
n500_s500022,500,178,0.964
n500_s500022,500,142,0.98
n500_s500022,500,140,0.994
n500_s500022,500,137,0.998
n500_s500022,500,278,0.996
n500_s500022,500,15,0.952
n500_s500022,500,429,0.97
n500_s500022,500,298,0.992
n500_s500022,500,239,0.966
n500_s500022,500,358,0.98
n500_s500022,500,143,0.996
n500_s500022,500,487,0.992
n500_s500022,500,383,0.99
n500_s500031,500,36,0.93
n500_s500031,500,73,0.976
n500_s500031,500,140,0.96
n500_s500031,500,357,0.986
n500_s500031,500,138,0.576
n500_s500031,500,445,0.98
n500_s500031,500,316,0.976
n500_s500031,500,4,0.992
n500_s500031,500,38,0.908
n500_s500031,500,332,0.982
n500_s500031,500,182,0.868
n500_s500031,500,15,0.966
n500_s500031,500,243,0.938
n500_s500031,500,312,0.992
n500_s500031,500,230,0.986
n500_s500031,500,433,0.992
n500_s500031,500,223,0.934
n500_s500031,500,262,0.986
n500_s500031,500,457,0.868
n500_s500031,500,251,0.956
n500_s500032,500,277,0.9559118236472945
n500_s500032,500,487,0.9859719438877755
n500_s500032,500,130,0.6893787575150301
n500_s500032,500,244,0.9458917835671342
n500_s500032,500,463,0.9919839679358717
n500_s500032,500,439,0.905811623246493
n500_s500032,500,287,0.9959919839679359
n500_s500032,500,363,0.9839679358717435
n500_s500032,500,39,0.969939879759519
n500_s500032,500,330,0.9859719438877755
n500_s500032,500,319,0.9679358717434869
n500_s500032,500,41,0.9759519038076152
n500_s500032,500,325,0.8917835671342685
n500_s500032,500,498,0.9819639278557114
n500_s500032,500,358,0.9819639278557114
n500_s500032,500,151,0.9759519038076152
n500_s500032,500,78,0.935871743486974
n500_s500032,500,86,0.9779559118236473
n500_s500032,500,433,0.9038076152304609
n500_s500032,500,429,0.9478957915831663
n500_s500042,500,330,0.988
n500_s500042,500,205,0.958
n500_s500042,500,417,0.988
n500_s500042,500,111,0.976
n500_s500042,500,353,0.872
n500_s500042,500,422,0.978
n500_s500042,500,219,0.928
n500_s500042,500,379,0.974
n500_s500042,500,289,0.988
n500_s500042,500,451,0.956
n500_s500042,500,372,0.964
n500_s500042,500,208,0.98
n500_s500042,500,220,0.92
n500_s500042,500,282,0.952
n500_s500042,500,327,0.986
n500_s500042,500,102,0.932
n500_s500042,500,473,0.98
n500_s500042,500,90,0.992
n500_s500042,500,366,0.996
n500_s500042,500,78,0.99
n500_s500043,500,446,0.962
n500_s500043,500,335,0.996
n500_s500043,500,227,0.946
n500_s500043,500,499,0.994
n500_s500043,500,403,0.936
n500_s500043,500,110,0.992
n500_s500043,500,107,0.992
n500_s500043,500,331,0.908
n500_s500043,500,128,0.992
n500_s500043,500,273,0.996
n500_s500043,500,62,0.962
n500_s500043,500,131,0.986
n500_s500043,500,498,0.99
n500_s500043,500,476,0.974
n500_s500043,500,357,0.964
n500_s500043,500,319,0.978
n500_s500043,500,211,0.99
n500_s500043,500,260,0.998
n500_s500043,500,399,0.954
n500_s500043,500,400,0.992
n500_s500052,500,170,0.8717434869739479
n500_s500052,500,107,0.9539078156312625
n500_s500052,500,76,0.9719438877755511
n500_s500052,500,353,0.9739478957915831
n500_s500052,500,230,0.9478957915831663
n500_s500052,500,482,0.9919839679358717
n500_s500052,500,491,0.8537074148296593
n500_s500052,500,463,0.8216432865731463
n500_s500052,500,62,0.7715430861723447
n500_s500052,500,274,0.9839679358717435
n500_s500052,500,464,0.9879759519038076
n500_s500052,500,449,0.9819639278557114
n500_s500052,500,87,0.5450901803607214
n500_s500052,500,153,0.9619238476953907
